id,old_name,new_name,in_stock
12998616,Samsung Phone S10 Back Glass,Back Glass for Samsung S10,9
12998617,Samsung Phone S10 Plus Back Glass,Back Glass for Samsung S10 Plus,10
12998610,Samsung Phone S10e Back Glass,Back Glass for Samsung S10e,0
12998618,Samsung Phone S20 Back Glass,Back Glass for Samsung S20,9
12998620,Samsung Phone S20 Plus Back Glass,Back Glass for Samsung S20 Plus,11
12998619,Samsung Phone S20 Ultra Back Glass,Back Glass for Samsung S20 Ultra,8
12997808,Samsung S8 Plus Back Glass,Back Glass for Samsung S8 Plus,11
12999866,Apple ipad 7th & 8th Gen Touch Glass Black,Touch Glass for ipad 7th & 8th Gen Black,2
12999867,Apple ipad 7th & 8th Gen Touch Glass White,Touch Glass for ipad 7th & 8th Gen White,3
12999868,Apple ipad 9th Gen Touch Glass White,Touch Glass for ipad 9th Gen White,2
12999601,Samsung Galaxy Tab A 8.0 (2017) Touch Glass,Touch Glass for Samsung Galaxy Tab A 8.0 (2017),1
12999346,Samsung Galaxy Note10 Camera Glass Lens,Camera Glass Lens for Samsung Galaxy Note10,1
12998976,Samsung Galaxy Note20 Camera Glass Lens,Camera Glass Lens for Samsung Galaxy Note20,2
12998977,Samsung Galaxy Note20 Ultra Camera Glass Lens,Camera Glass Lens for Samsung Galaxy Note20 Ultra,0
12998973,Samsung Galaxy S21 Camera Glass Lens,Camera Glass Lens for Samsung Galaxy S21,1
12998974,Samsung Galaxy S21 Plus Camera Glass Lens,Camera Glass Lens for Samsung Galaxy S21 Plus,2
12998975,Samsung Galaxy S21 Ultra Camera Glass Lens,Camera Glass Lens for Samsung Galaxy S21 Ultra,2
12999630,Samsung Galaxy A13 Glass Screen Protector,Screen Protector for Galaxy A13,7
12999629,Samsung Galaxy A23 Glass Screen Protector,Screen Protector for Galaxy A23,0
12999628,Samsung Galaxy A33 Glass Screen Protector,Screen Protector for Galaxy A33,1
12999623,Samsung Galaxy A73 Glass Screen Protector,Screen Protector for Galaxy A73,3
12999618,Samsung Galaxy S21 FE Glass Screen Protector,Screen Protector for Galaxy S21 FE,0
13000055,Samsung S22 Ultra UV Screen Protector,UV Screen Protector for S22 Ultra UV,2
13000056,Samsung S23 Ultra UV Screen Protector,UV Screen Protector for S23 Ultra UV,2
13000522,Samsung s23 ultra bcak glass,Back Glass for Samsung s23 ultra,0
13001117,OEM Samsung A32 5G LCD and Digitiser Replacement with Frame,LCD Screen for Samsung A32 5G with Frame,0
